"model","(Intercept)","Strategy","Week","Strategy:Week","Transect_ID","Habitat","Tide","Habitat:Strategy","Habitat:Week","Habitat:Strategy:Week","poly(Week, 2)","poly(Week, 2):Strategy","splines::ns(Week, df = 4)","splines::ns(Week, df = 4):Strategy","family","class","control","df","logLik","AICc","delta","weight"
"glm13",2.38431176435315,"+",0.103249781683907,"+",NA,"+",NA,"+","+","+",NA,NA,NA,NA,"gaussian(identity)","glm","",22,-114.785472961894,278.556167598666,0,0.999999857614515
"glm11",3.35883634230831,NA,0.0482008212198293,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"gaussian(identity)","glm","",6,-149.242817757122,310.869197158079,32.3130295594136,9.62309387749772e-08
"glm12",3.40873493993748,"+",0.0503131036649691,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"gaussian(identity)","glm","",8,-147.837556784452,312.338708038951,33.7825404402852,4.61545466205639e-08
"glm8",3.85903645745324,NA,0.0249757951616786,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",6,-1077.68865603459,2167.76087371301,1889.20470611435,0
"glm5",4.32592946817348,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",5,-1079.04389109915,2168.36050947104,1889.80434187237,0
"glm2",3.96637469888815,NA,0.023021493056297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",3,-1081.23868021408,2168.58546853627,1890.0293009376,0
"glm1",4.38892249376331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",2,-1082.38224378937,2168.81829923793,1890.26213163926,0
"glm4",4.27804395316523,NA,NA,NA,0.0818006725852587,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",3,-1081.96278690718,2170.03368192247,1891.4775143238,0
"glm9",3.88734080102656,"+",0.0266428862597891,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",8,-1076.75560751145,2170.17480949294,1891.61864189427,0
"glm16",3.90835078806636,"+",0.0228186852612798,NA,NA,"+",NA,"+",NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",13,-1071.44176690668,2170.60051494544,1892.04434734677,0
"glm3",4.43474699068756,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",4,-1081.74281233476,2171.66662014464,1893.11045254597,0
"glm7",4.01408931388838,"+",0.0195301034266528,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",10,-1076.67813419762,2174.37952420919,1895.82335661052,0
"glm6",4.38415975515276,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",5,-1082.19730760661,2174.66734248594,1896.11117488727,0
"glm14",4.36420103185763,"+",NA,NA,NA,"+",NA,NA,NA,NA,"+","+",NA,NA,"Gamma(log)","glm","",13,-1073.48306713579,2174.68311540366,1896.126947805,0
"glm10",3.94106514503905,"+",0.0273528798020602,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glm","",7,-1080.37167492426,2175.25711131642,1896.70094371775,0
"glmer7",3.95254527556673,"+",0.0240524977606153,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",8,-1079.93725738804,2176.53810924612,1897.98194164745,0
"glmer4",3.95255945244359,"+",0.0240517145380024,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",9,-1079.93725738433,2178.70784810199,1900.15168050332,0
"glmer5",3.94106487282352,"+",0.0273528949101839,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",8,-1081.37167492248,2179.40694431501,1900.85077671634,0
"glmer6",3.9410642553398,"+",0.0273529291816129,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",8,-1081.37167492251,2179.40694431508,1900.85077671641,0
"glmer2",3.95255442170735,"+",0.0240519986289489,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",10,-1079.93725738349,2180.89777058093,1902.34160298227,0
"glmer3",3.94106443757883,"+",0.0273529190669214,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",9,-1081.37167492237,2181.57668317808,1903.02051557941,0
"glmer1",3.96153295388514,"+",0.0232195550361501,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gamma(log)","glmerMod","glmerControl(bobyqa,list(1e+05))",11,-1079.90839110635,2183.0504270725,1904.49425947384,0
"glm15",4.30851218047828,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,"+","+","Gamma(log)","glm","",19,-1071.68702535389,2185.06337109612,1906.50720349746,0
