"model","(Intercept)","Habitat","Strategy","Tide","Transect_ID","Week","Strategy:Week","poly(Week, 2)","ns(Week, df = 4)","Strategy:Tide","Tide:Week","as.factor(Week)","as.factor(Week):Strategy","as.factor(Strategy)","poly(Week, 2):Strategy","class","control","df","logLik","AICc","delta","weight"
"glmer_week_factor",-1.03343040250242,"+","+","+",NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",13,121.603520966384,-215.481923449357,0,0.862869059324454
"glmfull",-1.70072188814403,"+","+","+","+",0.0511573787594625,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",11,116.171112944698,-209.102789269677,6.37913417967923,0.0355413164148707
"glmer_week_random",-1.03342047222446,"+","+","+",NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",16,121.603520911915,-208.591657208446,6.89026624091045,0.0275259674984464
"glm5",-1.12482681802618,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",4,108.03143895692,-207.881059732023,7.60086371733397,0.0192947124795709
"glmer_reduced5",-2.00582844189505,"+","+","+",NA,0.0543965296931294,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",9,112.675661118673,-206.514112935021,8.96781051433538,0.00974113553036924
"glmer_strategy_factor",-2.00575595718387,"+",NA,"+",NA,0.0543928399272244,NA,NA,NA,NA,NA,NA,NA,"+",NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",9,112.675661092671,-206.514112883016,8.96781056634046,0.00974113527707499
"glmer_reduced2",-1.76000016754511,"+","+","+","+",0.0542272967882313,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",12,115.939239716146,-206.406781319084,9.07514213027235,0.00923214935051823
"glmer_reduced3",-2.06346410745962,"+","+",NA,NA,0.0509791191217978,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",8,110.875948753518,-205.085230840369,10.3966926089875,0.00476795097566043
"glmer_poly1",-0.720409137606149,"+","+","+","+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",13,116.323882509167,-204.922646534921,10.5592769144358,0.00439568991047797
"glm_int1",-1.50084378442759,"+","+","+","+",0.0402174515911371,"+",NA,NA,NA,NA,NA,NA,NA,NA,"glm","",13,116.288195202759,-204.851271922107,10.6306515272499,0.00424158571463753
"glmer_int3",-1.72722744238148,"+","+","+",NA,0.0396675051516037,NA,NA,NA,NA,"+",NA,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",10,112.86619460649,-204.704351829803,10.7775716195532,0.00394116806462817
