"model","(Intercept)","Habitat","Strategy","Tide","Transect_ID","Week","Strategy:Week","poly(Week, 2)","poly(Week, 2):Strategy","class","control","df","logLik","AICc","delta","weight"
"glmer_poly1",-6.27693450477162,NA,"+",NA,NA,NA,NA,"+",NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",9,1291.55687784358,-2564.27263419183,0,0.761628364714298
"glmer_reduced1",-6.46015210378031,NA,"+",NA,NA,0.0128428032669861,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",7,1287.35102044285,-2560.18352236719,4.08911182463908,0.0985833924694169
"glmer_int1",-5.3172620559025,NA,"+",NA,NA,-0.0511557502831021,"+",NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",9,1289.06108328868,-2559.28104508204,4.99158910979213,0.0627817340112323
"glmer_polyint",-6.27336413789188,NA,"+",NA,NA,NA,NA,"+","+","glmerMod","glmerControl(bobyqa,list(2e+05))",12,1292.33747175839,-2559.196270531,5.07636366082306,0.0601761982338549
"glmer_full",-6.43666265944255,NA,"+",NA,NA,0.0107212307871577,NA,NA,NA,"glmerMod","glmerControl(bobyqa,list(2e+05))",9,1287.74367674189,-2556.64623198845,7.62640220337971,0.0168147692911481
"glm6",-5.95872361768374,NA,NA,NA,"+",NA,NA,NA,NA,"glm","",5,1276.43815545568,-2542.60108155355,21.6715526382741,1.49908150899063e-05
"glm_int1",-4.87183277928024,"+","+","+","+",-0.0579417673428281,"+",NA,NA,"glm","",13,1281.32907032209,-2534.92480731085,29.3478268809795,3.2280739460869e-07
"glmfull",-6.01051154810576,"+","+","+","+",0.00429210497957104,NA,NA,NA,"glm","",11,1278.31517190956,-2533.38506080026,30.887573391567,1.49482987228014e-07
"glm5",-6.19145316365366,"+",NA,NA,NA,NA,NA,NA,NA,"glm","",4,1269.01595346193,-2529.84925852204,34.4233756697927,2.55153810673442e-08
"glm4",-6.31022739597101,NA,NA,"+",NA,NA,NA,NA,NA,"glm","",3,1267.92331363814,-2529.73753636719,34.5350978246379,2.41291432162676e-08
"glm1",-6.25476155563933,NA,NA,NA,NA,NA,NA,NA,NA,"glm","",2,1266.62517851279,-2529.19605838304,35.0765758087905,1.84060861682762e-08
"glm2",-6.38447364046664,NA,NA,NA,NA,0.00707999294676704,NA,NA,NA,"glm","",3,1266.68386491714,-2527.25863892519,37.0139952666427,6.98644365741019e-09
"glm3",-6.25621094372101,NA,"+",NA,NA,NA,NA,NA,NA,"glm","",4,1266.9201060081,-2525.65756361437,38.6150705774576,3.13752413106389e-09
