"model","(Intercept)","Strategy","Week","Strategy:Week","Transect_ID","Habitat","Tide","Habitat:Strategy","Habitat:Week","Habitat:Strategy:Week","poly(Week, 2)","poly(Week, 2):Strategy","class","df","logLik","AICc","delta","weight"
"glm13",0.199895542837235,"+",NA,NA,NA,"+",NA,NA,NA,NA,"+","+","glm",13,174.313092176485,-320.909203220894,0,0.997276800231067
"glm5",0.221406116305766,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,NA,"glm",5,158.782807737845,-307.292888202962,13.6163150179315,0.00110171808370531
"glm8",0.314185752771994,NA,-0.00497311284241085,NA,NA,"+",NA,NA,NA,NA,NA,NA,"glm",6,159.281440629684,-306.179319615532,14.7298836053614,0.0006313382929704
"glm9",0.30199828583219,"+",-0.00570512333296925,NA,NA,"+",NA,NA,NA,NA,NA,NA,"glm",8,160.740020691687,-304.816446913328,16.0927563075658,0.000319387624760223
"glm11",0.30199828583219,"+",-0.00570512333296925,NA,NA,"+",NA,NA,NA,NA,NA,NA,"glm",8,160.740020691687,-304.816446913328,16.0927563075658,0.000319387624760223
"glm15",0.266507122102962,"+",-0.00366000254140703,NA,NA,"+",NA,"+",NA,NA,NA,NA,"glm",13,165.617073106457,-303.517165080838,17.3920381400551,0.000166794843222405
"glm4",0.281027870371264,NA,NA,NA,-0.0715678159682211,NA,NA,NA,NA,NA,NA,NA,"glm",3,154.375296216812,-302.642484325515,18.2667188953787,0.000107708035978774
"glm7",0.246153405438594,"+",-0.002600083145345,"+",NA,"+",NA,NA,NA,NA,NA,NA,"glm",10,160.805319112529,-300.587382411104,20.32182080979,3.85468058267999e-05
"glm1",0.184252982938129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm",2,151.309527049186,-298.565242439179,22.3439607817144,1.40244642731216e-05
"glm12",0.221615063342276,"+",-0.00122242469014798,"+",NA,"+",NA,"+","+","+",NA,NA,"glm",22,173.416356578392,-297.847491481907,23.0617117389863,9.79554581858165e-06
"glm2",0.261394782568373,NA,-0.00421010546158779,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm",3,151.653913160361,-297.199718212614,23.7094850082801,7.08543408474071e-06
"glm3",0.162127108803967,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glm",4,152.504068393937,-296.82714131276,24.0820619081337,5.88115216694401e-06
"glm6",0.186746587674177,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,"glm",5,151.886770573301,-293.500813873875,27.4083893470182,1.1147040793847e-06
"glm10",0.280845848424458,"+",-0.006588948878838,"+",NA,NA,NA,NA,NA,NA,NA,NA,"glm",7,153.02440673496,-291.53505200203,29.3741512188636,4.17157276721174e-07
"glmer7",0.267821707722826,"+",-0.00473822557434174,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,135.836358857257,-255.009123244468,65.9000799764253,4.88421947248591e-15
"glmer4",0.262178687471993,"+",-0.00452409801306961,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",9,135.950618725254,-253.067904117176,67.841299103718,1.85039647812557e-15
"glmer2",0.273861782613415,"+",-0.00452838699490576,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",10,136.805617672353,-252.587979530752,68.3212236901413,1.45562830974682e-15
"glmer1",0.256512645220961,"+",-0.00350205350400236,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",11,137.164933103378,-251.096221346942,69.8129818739513,6.9042946878234e-16
"glmer6",0.272896614808318,"+",-0.00614168020414323,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,132.339786052551,-248.015977635056,72.8932255858377,1.47996994563002e-16
"glmer5",0.28084584842443,"+",-0.00658894887883639,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",8,131.693341431694,-246.723088393342,74.1861148275512,7.75363877631818e-17
"glmer3",0.272896614804728,"+",-0.00614168020393226,"+",NA,NA,NA,NA,NA,NA,NA,NA,"lmerMod",9,132.339786052551,-245.846238771769,75.0629644491248,5.00149787171464e-17
