"model","(Intercept)","Habitat","Strategy","Tide","Week","Strategy:Week","poly(Week, 2)","poly(Week, 2):Strategy","class","df","logLik","AICc","delta","weight"
"lm_polint",0.0422683304809296,NA,"+",NA,NA,NA,"+","+","lm",10,718.75522193992,-1416.47758003007,0,0.660511017227118
"lm4",0.0415341786627857,NA,NA,"+",NA,NA,NA,NA,"lm",3,709.510537290022,-1412.91198367095,3.56559635912072,0.111076108042279
"lm1",0.0426192470341146,NA,NA,NA,NA,NA,NA,NA,"lm",2,708.375404630788,-1412.69651061904,3.78106941103192,0.0997312530181274
"lm5",0.043785842279637,"+",NA,NA,NA,NA,NA,NA,"lm",4,709.960477897968,-1411.73830739411,4.73927263596488,0.0617675092531024
"lm2",0.0371439735448935,NA,NA,NA,0.000298991043779991,NA,NA,NA,"lm",3,708.627178122919,-1411.14526533675,5.33231469332668,0.0459179660315286
"lm3",0.0427173252911476,NA,"+",NA,NA,NA,NA,NA,"lm",4,708.634478356615,-1409.0863083114,7.39127171867221,0.0164015844770748
"lm_int1",0.0581260377658841,"+","+","+",-0.000830317814494854,"+",NA,NA,"lm",10,713.302708818597,-1405.57255378743,10.9050262426454,0.00283063390885181
"lmfull",0.0380455945217376,"+","+","+",0.000274372223034306,NA,NA,NA,"lm",8,710.64820071613,-1404.6266339904,11.850946039676,0.00176392384364738
"lmer_poly1",0.0430642373688551,NA,"+",NA,NA,NA,"+",NA,"lmerMod",8,697.693284352425,-1378.71680126299,37.7607787670845,4.17091309045575e-09
"lmer_reduced1",0.0381516083654171,NA,"+",NA,0.000291269595687133,NA,NA,NA,"lmerMod",6,690.360785779989,-1368.33447478578,48.1431052442906,2.32133378024667e-11
"lmer_full",0.0386265628420201,NA,"+",NA,0.000265773786949912,NA,NA,NA,"lmerMod",8,690.77787813495,-1364.88598882804,51.591591202035,4.13912345628035e-12
"lmer_polyint",0.0427286835444028,NA,"+",NA,NA,NA,"+","+","lmerMod",11,687.272489537868,-1351.29969605687,65.1778839732071,4.64175688360291e-15
"lmer_int1",0.0608685731959576,NA,"+",NA,-0.000980380350531203,"+",NA,NA,"lmerMod",8,680.260726698388,-1343.85168595491,72.6258940751597,1.12038567117734e-16
